model.pt
1,0.40397748823213103
2,0.3736640542450518
3,0.3578859527807425
4,0.34953298264800914
5,0.3431726133469308
6,0.3384694769830987
7,0.3345755285555773
8,0.3315366586246113
9,0.3294574547522139
10,0.3270888288717459
11,0.325452790549486
12,0.3233087130702368
13,0.32172127156564506
14,0.320550921824899
15,0.31948047610792785
16,0.3189431188425215
17,0.31785840238675034
18,0.3170116070178476
19,0.31686763789984257
20,0.3162181557405113
21,0.3151182589849623
22,0.31431218804699357
23,0.3143071849452387
24,0.3136056334075361
25,0.3140488469069547
26,0.31316924257443685
27,0.31250377205928953
28,0.3123647843552108
29,0.3117892625603345
30,0.31235181754178337
31,0.31176525501921626
32,0.310908698504514
33,0.3119076081726811
34,0.3109837420801125
35,0.3111652690585297
