model.pt
1,0.40702331553001214
2,0.38286806849559935
3,0.36891643098085236
4,0.3595448031578914
5,0.35241462703388515
6,0.34704343856561304
7,0.34295672606123556
8,0.33955412911306515
9,0.33729839811820794
10,0.3349533392356174
11,0.3325802815137523
12,0.33166504614423997
13,0.32999199835380705
14,0.32862664832927213
15,0.3274454096756359
16,0.32634446629793334
17,0.3258529783475517
18,0.32483396406220916
19,0.3241241642154089
20,0.32304684065356115
21,0.322741893110889
22,0.32197405619196373
23,0.32143139691636113
