model_init_1x1_True.pt
1,0.40486898442896285
2,0.37625594083035346
3,0.3600021310076855
4,0.35087312787476155
5,0.34488351067694106
6,0.3398425112856497
7,0.33626197765369226
8,0.3332253237171928
9,0.3309432461415187
10,0.32836880837336624
11,0.3267626603050987
12,0.3254743302517598
13,0.32492403022133476
14,0.32352085854157364
15,0.32216201648853793
16,0.32138625259446624
17,0.32015796433580984
18,0.31984122746651716
19,0.31917191186163685
20,0.3186884009011901
21,0.31791987085696494
22,0.3175700402790957
23,0.3171852350530058
